# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-F" "GFF" "-t" "gene" "-g" "ID" "-a" "analyses/03_annotation/augustus_chr3/augustus_chr3.gff" "-o" "analyses/06_counts/featurecounts_chr3.txt" "analyses/05_expression/mapping/control/Control_1.sorted.bam" "analyses/05_expression/mapping/control/Control_2.sorted.bam" "analyses/05_expression/mapping/control/Control_3.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyses/05_expression/mapping/control/Control_1.sorted.bam	analyses/05_expression/mapping/control/Control_2.sorted.bam	analyses/05_expression/mapping/control/Control_3.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam
g344	contig_103_pilon	2106462	2107696	+	1235	0	0	0	0	0	0
g345	contig_103_pilon	2107752	2109489	+	1738	0	0	0	3	2	0
g346	contig_103_pilon	2109572	2111062	+	1491	10	52	46	99	25	110
g347	contig_103_pilon	2111767	2113127	-	1361	24	19	28	37	26	28
g348	contig_103_pilon	2113833	2116337	-	2505	466	525	639	454	179	536
g349	contig_103_pilon	2123245	2137677	-	14433	0	12	13	1	0	9
g350	contig_103_pilon	2137836	2141737	-	3902	249	1465	2557	89	92	79
g351	contig_103_pilon	2142743	2152427	-	9685	6	15	4	21	5	2
g352	contig_103_pilon	2163382	2176173	+	12792	2681	2380	2970	4330	2326	5180
g353	contig_103_pilon	2177036	2186417	-	9382	2173	1632	1694	3418	2003	2848
g354	contig_103_pilon	2191108	2197737	-	6630	1223	1869	2200	1581	1700	1095
g355	contig_103_pilon	2197832	2198949	+	1118	86	55	91	57	43	23
g356	contig_103_pilon	2202022	2203401	+	1380	0	0	0	0	0	0
g357	contig_103_pilon	2204798	2211077	-	6280	1953	1214	1058	735	313	1033
g358	contig_103_pilon	2213592	2214761	+	1170	0	0	0	0	0	0
g359	contig_103_pilon	2215104	2215997	-	894	0	0	0	0	0	0
g360	contig_103_pilon	2218860	2222957	-	4098	441	3046	3061	3280	1627	3718
g361	contig_103_pilon	2224782	2227326	+	2545	463	537	389	669	232	647
g362	contig_103_pilon	2227691	2231417	-	3727	170	456	454	64	68	207
g363	contig_103_pilon	2231723	2238237	-	6515	1124	4382	4485	302	153	706
g364	contig_103_pilon	2243094	2246577	-	3484	348	571	996	46	10	38
g365	contig_103_pilon	2246672	2248286	+	1615	181	163	282	14	0	14
g366	contig_103_pilon	2250372	2254062	+	3691	0	0	0	0	0	0
g367	contig_103_pilon	2258157	2270400	-	12244	721	434	392	84	83	235
g368	contig_103_pilon	2270545	2277399	+	6855	356	241	294	86	50	259
g369	contig_103_pilon	2280915	2290639	+	9725	54	35	41	19	5	48
g370	contig_103_pilon	2290699	2291470	-	772	11	29	29	17	2	1
g371	contig_103_pilon	2291705	2292874	+	1170	69	596	347	72	37	238
g372	contig_103_pilon	2294476	2297410	-	2935	0	0	0	0	0	0
g373	contig_103_pilon	2307395	2308685	+	1291	13	4	10	0	0	2
g374	contig_103_pilon	2310042	2314240	-	4199	26	17	8	0	2	0
g375	contig_103_pilon	2317088	2324630	-	7543	210	242	268	20	10	55
g376	contig_103_pilon	2326453	2328710	-	2258	0	0	0	0	0	0
g377	contig_103_pilon	2328825	2330479	+	1655	0	0	0	0	0	0
g378	contig_103_pilon	2333682	2335550	-	1869	1323	1718	1481	5634	3257	4028
g379	contig_103_pilon	2335665	2336705	+	1041	21	12	24	95	47	46
g380	contig_103_pilon	2339507	2343200	-	3694	1543	1238	1245	1182	671	1431
g381	contig_103_pilon	2351015	2355044	+	4030	106	127	155	831	3182	908
g382	contig_103_pilon	2379413	2381000	-	1588	6	17	23	45	12	13
g383	contig_103_pilon	2381095	2384792	+	3698	262	166	469	652	524	553
g384	contig_103_pilon	2388711	2392740	-	4030	711	420	744	1399	972	955
g385	contig_103_pilon	2392835	2394973	+	2139	17	15	15	46	21	28
g386	contig_103_pilon	2396815	2397400	-	586	0	0	0	0	0	0
g387	contig_103_pilon	2398203	2402510	-	4308	519	494	378	626	330	647
g388	contig_103_pilon	2402615	2404394	+	1780	43	32	11	16	0	6
g389	contig_103_pilon	2404875	2408387	+	3513	153	109	97	64	12	70
g390	contig_103_pilon	2408441	2412120	-	3680	502	533	512	885	398	911
g391	contig_103_pilon	2418952	2420007	+	1056	0	0	0	0	0	0
g392	contig_103_pilon	2420588	2424467	-	3880	0	0	0	0	0	0
g393	contig_103_pilon	2425292	2426336	+	1045	0	0	0	0	0	0
g394	contig_103_pilon	2426617	2430607	-	3991	0	0	0	0	0	0
g395	contig_103_pilon	2430822	2442711	+	11890	0	0	0	0	0	0
g396	contig_103_pilon	2443312	2448736	+	5425	1658	2587	2021	93	93	244
g397	contig_103_pilon	2448785	2454787	-	6003	271	614	623	374	208	109
g398	contig_103_pilon	2463163	2469717	-	6555	0	0	0	0	0	0
g399	contig_103_pilon	2471277	2473327	-	2051	1336	951	982	1940	1253	2269
g400	contig_103_pilon	2473543	2475527	-	1985	596	361	619	1092	462	1070
g401	contig_103_pilon	2481362	2486359	+	4998	960	1552	1219	1222	789	790
g402	contig_103_pilon	2486974	2498367	-	11394	555	344	580	1472	1018	743
g403	contig_103_pilon	2499187	2503417	-	4231	191	589	422	783	465	692
g404	contig_103_pilon	2504577	2506047	-	1471	40	32	26	64	6	42
g405	contig_103_pilon	2506172	2512801	+	6630	1086	1177	1174	1074	492	1628
g406	contig_103_pilon	2512973	2517307	-	4335	587	890	890	686	405	857
g407	contig_103_pilon	2521642	2523493	+	1852	0	0	0	0	0	0
g408	contig_103_pilon	2526312	2529144	+	2833	0	0	0	0	0	0
g409	contig_103_pilon	2529587	2530757	-	1171	0	0	0	0	0	0
g410	contig_103_pilon	2530932	2537595	+	6664	0	0	0	0	0	0
g411	contig_103_pilon	2542564	2544867	-	2304	0	0	0	0	0	0
g412	contig_103_pilon	2551612	2554992	+	3381	0	0	0	0	0	0
g413	contig_103_pilon	2555842	2557523	+	1682	0	0	0	0	0	0
g414	contig_103_pilon	2563204	2571197	-	7994	0	0	0	0	0	0
g415	contig_103_pilon	2571462	2580037	+	8576	0	0	0	0	0	0
g416	contig_103_pilon	2580664	2588657	-	7994	1023	1203	1094	1527	573	1492
g417	contig_103_pilon	2590192	2597723	+	7532	2730	2782	3106	4341	2561	4346
g418	contig_103_pilon	2597912	2599140	+	1229	381	130	137	122	106	230
g419	contig_103_pilon	2599674	2607487	-	7814	1201	1401	1254	2136	966	1864
g420	contig_103_pilon	2611555	2613129	-	1575	0	0	0	1	0	16
g421	contig_103_pilon	2613224	2614273	+	1050	36	116	89	370	273	439
g422	contig_103_pilon	2614324	2618397	+	4074	689	1158	1161	5222	2834	5688
g423	contig_103_pilon	2618813	2626209	-	7397	2	0	0	20	8	2
g424	contig_103_pilon	2629749	2630739	-	991	40	47	54	33	5	83
g425	contig_103_pilon	2630864	2635116	+	4253	292	317	395	267	96	390
g426	contig_103_pilon	2635315	2642529	-	7215	2397	6273	5787	1756	1345	3252
g427	contig_103_pilon	2643684	2647809	-	4126	2031	3121	3384	1068	1415	1433
g428	contig_103_pilon	2648449	2650159	-	1711	2670	2953	2525	318	720	398
g429	contig_103_pilon	2651205	2662079	-	10875	1973	20287	19191	2470	1265	2370
g430	contig_103_pilon	2662194	2667200	+	5007	299	341	284	403	88	473
g431	contig_103_pilon	2667780	2670059	-	2280	311	447	348	218	166	454
g432	contig_103_pilon	2670184	2676288	+	6105	3181	6957	2574	1334	1961	1301
g433	contig_103_pilon	2676305	2679399	-	3095	49	263	44	18	42	24
g434	contig_103_pilon	2684132	2688389	-	4258	617	433	438	169	200	282
g435	contig_103_pilon	2688514	2693081	+	4568	2030	2350	1998	691	627	1301
g436	contig_103_pilon	2695229	2709589	-	14361	33	29	23	15	13	15
g437	contig_103_pilon	2709655	2710099	-	445	31	58	87	113	59	116
g438	contig_103_pilon	2710434	2712150	+	1717	696	838	791	1176	940	1632
g439	contig_103_pilon	2712599	2717019	-	4421	5060	4402	6085	8600	8540	6145
g440	contig_103_pilon	2722024	2731450	+	9427	16390	4564	6541	24616	53916	28678
g441	contig_103_pilon	2733571	2736309	-	2739	45270	1980	2608	3903	3906	9378
g442	contig_103_pilon	2737734	2738685	+	952	0	0	0	0	0	0
g443	contig_103_pilon	2740711	2742679	-	1969	87	2	0	149	98	70
g444	contig_103_pilon	2743004	2744547	+	1544	32118	254	595	2315	1807	4150
g445	contig_103_pilon	2744921	2745779	-	859	59	0	0	150	246	98
g446	contig_103_pilon	2746284	2748102	+	1819	16016	4223	8032	8384	9585	8715
g447	contig_103_pilon	2750844	2757422	+	6579	2	12	0	20	36	23
g448	contig_103_pilon	2757482	2761299	-	3818	89	11	40	102	91	98
g449	contig_103_pilon	2762611	2763999	-	1389	0	0	0	5	0	0
g450	contig_103_pilon	2765837	2767619	-	1783	2931	683	1124	2568	2804	2091
g451	contig_103_pilon	2767824	2779759	+	11936	1278	1169	2100	2987	1983	2081
g452	contig_103_pilon	2788761	2795901	-	7141	0	0	0	8	0	0
g453	contig_103_pilon	2796086	2798050	+	1965	19	92	92	16	29	67
g454	contig_103_pilon	2802452	2805081	-	2630	653	368	820	1661	1346	1414
g455	contig_103_pilon	2805176	2813874	+	8699	1534	1317	1691	2792	2428	3610
g456	contig_103_pilon	2816628	2819131	-	2504	286	516	555	77	50	242
g457	contig_103_pilon	2819246	2822583	+	3338	1260	1515	1779	827	310	964
g458	contig_103_pilon	2823169	2824241	-	1073	0	0	0	0	0	0
g459	contig_103_pilon	2827236	2828065	+	830	0	0	0	0	0	0
g460	contig_103_pilon	2831523	2836241	-	4719	0	0	0	0	0	0
g461	contig_103_pilon	2837976	2840634	+	2659	0	0	0	2	0	2
g462	contig_103_pilon	2843467	2849171	-	5705	0	0	0	0	0	0
g463	contig_103_pilon	2860736	2864510	+	3775	1467	9321	11293	3154	1724	2639
g464	contig_103_pilon	2865152	2867731	-	2580	0	0	0	0	0	0
g465	contig_103_pilon	2877376	2884103	+	6728	0	0	0	0	0	0
g466	contig_103_pilon	2885417	2894941	-	9525	133	383	405	165	205	237
g467	contig_103_pilon	2904026	2905008	+	983	10	27	17	10	21	1
g468	contig_103_pilon	2905056	2911314	+	6259	22	25	28	8	31	14
g469	contig_103_pilon	2913414	2915051	-	1638	0	0	2	2	6	3
g470	contig_103_pilon	2915156	2924543	+	9388	1763	3857	5338	13507	15052	53753
g471	contig_103_pilon	2924567	2926911	-	2345	311	309	367	278	167	510
g472	contig_103_pilon	2927036	2933379	+	6344	1176	1129	1250	673	370	828
g473	contig_103_pilon	2936776	2945575	+	8800	1759	830	745	436	243	665
g474	contig_103_pilon	2946298	2951291	-	4994	6	12	8	0	0	6
g475	contig_103_pilon	2954708	2959260	+	4553	542	1348	1180	304	214	564
g476	contig_103_pilon	2962098	2968538	+	6441	53	1357	923	29	12	75
g477	contig_103_pilon	2968943	2970223	-	1281	4788	10388	10487	8747	8730	6283
g478	contig_103_pilon	2972980	2982483	-	9504	2816	3898	4113	5662	5310	3780
g479	contig_103_pilon	2985032	2985713	-	682	419	74	101	22	3	187
g480	contig_103_pilon	2985808	2988496	+	2689	2754	413	696	249	50	1709
g481	contig_103_pilon	2989537	2996983	-	7447	515	1102	1046	141	146	268
g482	contig_103_pilon	2997078	2997902	+	825	74	130	164	1	0	18
g483	contig_103_pilon	2997974	2999553	-	1580	112	267	252	3	2	34
g484	contig_103_pilon	2999888	3005843	+	5956	3	26	42	30	9	97
g485	contig_103_pilon	3006289	3013533	-	7245	453	652	617	1987	715	2195
g486	contig_103_pilon	3013753	3017253	-	3501	2027	1780	2922	5820	2153	5076
g487	contig_103_pilon	3021768	3026207	+	4440	648	796	743	730	488	1016
g488	contig_103_pilon	3026258	3028173	-	1916	10	22	3	87	61	136
g489	contig_103_pilon	3029298	3031777	+	2480	614	428	494	165	93	298
g490	contig_103_pilon	3031833	3033293	-	1461	293	285	248	565	202	480
g491	contig_103_pilon	3044823	3045773	-	951	337	218	338	692	550	451
g492	contig_103_pilon	3046148	3049940	+	3793	9234	7183	10031	9384	7981	8638
g493	contig_103_pilon	3054368	3058612	+	4245	0	8	11	50	44	28
g494	contig_103_pilon	3062798	3071021	+	8224	1229	551	676	767	279	972
g495	contig_103_pilon	3076514	3079463	-	2950	302	392	279	28	74	94
g496	contig_103_pilon	3080333	3085443	-	5111	0	7	0	0	0	0
g497	contig_103_pilon	3085828	3097099	+	11272	933	5311	3531	958	1426	2739
g498	contig_103_pilon	3097810	3103213	-	5404	3880	3057	2867	2262	1666	3461
g499	contig_103_pilon	3103378	3118534	+	15157	2233	3204	3410	2147	1081	2123
g500	contig_103_pilon	3119453	3125233	-	5781	2365	861	1562	6241	6356	4885
g501	contig_103_pilon	3134420	3139964	+	5545	0	0	0	0	0	0
g502	contig_103_pilon	3140013	3143335	-	3323	0	0	0	0	0	0
g503	contig_103_pilon	3144040	3152379	+	8340	4873	4302	4081	55657	114793	54967
g504	contig_103_pilon	3154800	3161624	+	6825	1470	1529	1492	1645	787	1748
g505	contig_103_pilon	3162650	3163481	+	832	0	0	0	0	0	0
g506	contig_103_pilon	3165940	3168940	+	3001	312	155	303	738	524	344
g507	contig_103_pilon	3170850	3184662	+	13813	1048	4324	4493	1016	715	642
g508	contig_103_pilon	3186720	3188118	+	1399	0	0	0	0	0	0
g509	contig_103_pilon	3188160	3189095	-	936	0	0	0	0	0	0
g510	contig_103_pilon	3189720	3195960	+	6241	1575	1621	2090	2430	1799	3086
g511	contig_103_pilon	3196150	3197917	+	1768	0	8	0	0	8	0
g512	contig_103_pilon	3207710	3210864	+	3155	0	0	0	0	0	0
g513	contig_103_pilon	3210883	3214955	-	4073	602	679	567	340	109	656
g514	contig_103_pilon	3215160	3219154	+	3995	823	971	807	234	40	545
g515	contig_103_pilon	3219183	3221545	-	2363	257	290	217	190	72	325
g516	contig_103_pilon	3222140	3230099	+	7960	9	30	19	47	54	100
g517	contig_103_pilon	3230308	3232765	-	2458	379	538	840	984	949	466
g518	contig_103_pilon	3232890	3234160	+	1271	83	94	137	1210	922	567
g519	contig_103_pilon	3241440	3251146	+	9707	473	2280	1555	1589	1589	2417
g520	contig_103_pilon	3255040	3256890	+	1851	65	213	180	545	361	1293
g521	contig_103_pilon	3257020	3257807	+	788	144	394	267	1007	494	2704
g522	contig_103_pilon	3258854	3264995	-	6142	4	1	0	31	16	37
g523	contig_103_pilon	3267610	3270355	-	2746	0	0	0	0	0	0
g524	contig_103_pilon	3279800	3289109	+	9310	46	70	62	59	19	69
g525	contig_103_pilon	3289741	3298635	-	8895	0	0	0	0	0	0
g526	contig_103_pilon	3298940	3312138	+	13199	0	0	0	10	1	0
g527	contig_103_pilon	3313140	3316060	-	2921	57	3	8	97	126	69
g528	contig_103_pilon	3316165	3318888	+	2724	3345	257	441	3978	4397	4075
g529	contig_103_pilon	3318962	3324310	-	5349	565	131	123	1281	842	1224
g530	contig_103_pilon	3324405	3331059	+	6655	5749	6487	6854	9647	9517	7253
g531	contig_103_pilon	3331416	3343930	-	12515	3730	8217	10227	3655	1965	4117
g532	contig_103_pilon	3344525	3348821	+	4297	326	727	756	519	312	727
g533	contig_103_pilon	3350175	3356779	+	6605	1211	1821	1902	893	539	1211
g534	contig_103_pilon	3357020	3359730	-	2711	669	998	899	345	207	1123
g535	contig_103_pilon	3361525	3365095	+	3571	0	0	2	0	0	0
g536	contig_103_pilon	3365445	3369230	-	3786	471	1030	1018	556	446	820
g537	contig_103_pilon	3369385	3370581	+	1197	682	1651	1646	388	416	848
g538	contig_103_pilon	3370725	3373000	-	2276	271	263	238	647	379	467
g539	contig_103_pilon	3373345	3375726	+	2382	97	197	122	64	20	103
g540	contig_103_pilon	3376110	3381040	-	4931	2231	1369	1430	759	302	913
g541	contig_103_pilon	3383851	3390540	-	6690	0	0	0	2	6	3
g542	contig_103_pilon	3392656	3401850	-	9195	1139	692	915	951	379	1187
g543	contig_103_pilon	3401955	3409093	+	7139	1874	2249	2225	2323	888	2536
g544	contig_103_pilon	3420845	3431958	+	11114	2842	4921	4040	1942	1392	2696
g545	contig_103_pilon	3432066	3434700	-	2635	3	8	4	0	2	10
g546	contig_103_pilon	3437265	3440290	-	3026	3227	4275	4194	1478	1472	2542
g547	contig_103_pilon	3440415	3443909	+	3495	757	889	931	604	256	834
g548	contig_103_pilon	3444041	3450080	-	6040	495	972	778	203	92	269
g549	contig_103_pilon	3450664	3452900	-	2237	63	108	93	36	18	29
g550	contig_103_pilon	3453195	3455166	+	1972	0	0	0	0	0	0
g551	contig_103_pilon	3466265	3471314	+	5050	27	54	12	17	12	26
g552	contig_103_pilon	3471777	3474410	-	2634	1082	2115	1554	253	530	579
g553	contig_103_pilon	3474545	3479137	+	4593	9	43	7	28	5	29
g554	contig_103_pilon	3479464	3483130	-	3667	1449	2142	2123	2524	1064	2799
g555	contig_103_pilon	3483225	3486948	+	3724	0	0	0	0	0	0
g556	contig_103_pilon	3489175	3490839	+	1665	0	0	0	0	0	0
g557	contig_103_pilon	3492524	3497400	-	4877	41	34	24	56	34	199
g558	contig_103_pilon	3501322	3502874	-	1553	0	0	0	0	0	0
g559	contig_103_pilon	3505279	3507734	-	2456	0	0	0	1	0	0
g560	contig_103_pilon	3507879	3511275	+	3397	0	0	0	0	0	0
g561	contig_103_pilon	3511679	3515945	+	4267	1086	1726	1888	902	646	1366
g562	contig_103_pilon	3517139	3519623	+	2485	1231	996	1191	466	693	438
g563	contig_103_pilon	3519650	3526074	-	6425	303	361	393	150	194	316
g564	contig_103_pilon	3529309	3530253	+	945	0	0	0	0	0	0
g565	contig_103_pilon	3531541	3533714	-	2174	0	0	0	0	0	0
g566	contig_103_pilon	3533879	3535447	+	1569	0	0	0	0	0	0
g567	contig_103_pilon	3536911	3539564	-	2654	0	0	0	0	0	0
g568	contig_103_pilon	3545720	3548354	-	2635	0	34	0	0	0	0
g569	contig_103_pilon	3548933	3560134	-	11202	1217	1293	1190	1457	668	1355
g570	contig_103_pilon	3563019	3565567	+	2549	593	564	380	777	438	1009
g571	contig_103_pilon	3567789	3571334	-	3546	4682	1153	1273	3327	4556	10617
g572	contig_103_pilon	3571421	3575114	-	3694	1050	1358	1238	333	500	566
g573	contig_103_pilon	3576539	3582712	+	6174	1345	2350	3027	2169	3101	3373
g574	contig_103_pilon	3584079	3587374	+	3296	1253	1590	1449	3236	2208	2962
g575	contig_103_pilon	3589794	3592724	-	2931	9527	5118	7772	14757	9180	15718
g576	contig_103_pilon	3592949	3593517	+	569	0	0	0	0	0	0
g577	contig_103_pilon	3595073	3601044	-	5972	1464	761	847	657	309	591
g578	contig_103_pilon	3606689	3609914	-	3226	17978	25134	29271	12068	9633	14626
g579	contig_103_pilon	3611829	3636124	-	24296	4888	16532	18362	4484	3385	4342
g580	contig_103_pilon	3636219	3637693	+	1475	39	428	448	81	39	60
g581	contig_103_pilon	3638089	3640582	+	2494	0	5	2	0	0	10
g582	contig_103_pilon	3644139	3647255	+	3117	0	0	0	0	2	0
g583	contig_103_pilon	3647696	3648974	-	1279	0	0	0	0	0	0
g584	contig_104_pilon	17208	18001	-	794	67	92	202	339	193	292
g585	contig_104_pilon	18096	19559	+	1464	377	1035	1649	1719	948	2035
g586	contig_104_pilon	19767	22791	-	3025	456	489	528	170	154	466
g587	contig_104_pilon	23076	24800	+	1725	504	766	632	103	70	268
g588	contig_104_pilon	25186	26861	-	1676	2	4	0	0	0	10
g589	contig_104_pilon	27156	29065	+	1910	0	0	0	0	0	0
g590	contig_104_pilon	29191	32061	-	2871	0	0	0	0	0	0
g591	contig_104_pilon	32316	33716	+	1401	13187	9355	17589	28163	27207	18309
g592	contig_104_pilon	34396	37051	+	2656	6	0	0	4	0	6
g593	contig_104_pilon	37572	42751	-	5180	74	555	105	12	16	18
g594	contig_104_pilon	43576	48438	+	4863	639	670	696	2376	973	2309
g595	contig_104_pilon	50236	51556	+	1321	0	0	0	0	0	0
g596	contig_104_pilon	58062	59691	-	1630	192	545	371	244	77	160
g597	contig_104_pilon	59996	65059	+	5064	1343	2515	2101	1440	466	998
g598	contig_104_pilon	69446	76672	+	7227	4183	4802	5026	4957	3706	4233
g599	contig_104_pilon	77851	79671	-	1821	134	202	183	66	34	127
g600	contig_104_pilon	79923	81061	-	1139	66	703	452	239	66	246
g601	contig_104_pilon	81166	84384	+	3219	7	30	46	28	4	14
g602	contig_104_pilon	85824	88701	-	2878	651	529	424	241	101	271
g603	contig_104_pilon	89306	91908	+	2603	13	21	11	12	3	19
g604	contig_104_pilon	95294	102571	-	7278	62	53	24	40	0	31
g605	contig_104_pilon	102666	106839	+	4174	477	603	572	536	356	706
g606	contig_104_pilon	106910	114571	-	7662	3190	4582	4079	4608	3657	2720
g607	contig_104_pilon	114826	116160	+	1335	239	254	249	509	290	198
g608	contig_104_pilon	116165	119631	-	3467	0	0	0	0	0	0
g609	contig_104_pilon	121376	134104	+	12729	0	0	0	0	0	0
g610	contig_104_pilon	135641	138231	-	2591	0	0	0	0	0	0
g611	contig_104_pilon	141746	144785	+	3040	0	0	0	0	0	0
g612	contig_104_pilon	145157	149531	-	4375	0	0	0	0	0	0
g613	contig_104_pilon	152746	154431	-	1686	0	0	0	7	0	0
g614	contig_104_pilon	154786	156508	+	1723	0	0	0	0	0	0
g615	contig_104_pilon	160612	165301	-	4690	0	0	0	0	0	0
g616	contig_104_pilon	167306	187328	+	20023	0	0	0	0	0	0
g617	contig_104_pilon	189855	191221	-	1367	10	0	0	0	0	0
g618	contig_104_pilon	191277	194571	-	3295	395	56	58	4	2	0
g619	contig_104_pilon	195176	198727	+	3552	0	0	0	0	0	0
g620	contig_104_pilon	198801	203351	-	4551	0	0	8	8	0	0
g621	contig_104_pilon	203476	208459	+	4984	4	0	6	2	0	0
g622	contig_104_pilon	208755	211661	-	2907	8	32	18	17	0	62
g623	contig_104_pilon	212926	216385	+	3460	2507	1893	2702	4487	2065	3019
g624	contig_104_pilon	217236	220743	+	3508	872	1045	878	1843	1767	2045
g625	contig_104_pilon	221186	227234	+	6049	876	1044	824	671	198	652
g626	contig_104_pilon	228166	231013	+	2848	25	30	16	22	32	32
g627	contig_104_pilon	231496	241339	+	9844	1376	740	679	365	194	665
g628	contig_104_pilon	241409	246041	-	4633	748	1275	888	1269	1325	1224
g629	contig_104_pilon	249786	259174	+	9389	487	859	724	1309	1431	1100
g630	contig_104_pilon	259190	264631	-	5442	1103	1308	1531	1469	936	1210
g631	contig_104_pilon	264986	265887	+	902	10	12	3	17	6	6
g632	contig_104_pilon	265907	268571	-	2665	69	54	23	64	90	50
g633	contig_104_pilon	271068	274081	-	3014	2568	4412	4279	10217	8772	8425
g634	contig_104_pilon	275284	287221	-	11938	2480	5708	6549	2673	1030	4475
g635	contig_104_pilon	287316	292944	+	5629	944	1409	1217	1004	636	1121
g636	contig_104_pilon	298156	306714	+	8559	3535	2862	3862	2179	1247	3132
g637	contig_104_pilon	307536	313179	+	5644	2898	1543	1360	2367	1975	1801
g638	contig_104_pilon	314826	317897	+	3072	1	6	5	3	1	0
g639	contig_104_pilon	331806	332220	+	415	0	0	0	0	0	0
g640	contig_104_pilon	335316	339592	+	4277	8355	14271	16344	8483	8083	8949
g641	contig_104_pilon	345243	349191	-	3949	531	440	1185	639	474	409
g642	contig_104_pilon	349417	354261	-	4845	3350	3883	5098	5564	5359	4189
g643	contig_105_pilon	1	2221	-	2221	256	213	332	330	215	231
g644	contig_105_pilon	2426	4748	+	2323	0	0	0	0	0	0
g645	contig_105_pilon	6466	8308	+	1843	265	122	246	287	49	8
g646	contig_105_pilon	8327	10221	-	1895	184	58	146	62	23	8
g647	contig_105_pilon	10476	12752	+	2277	0	0	0	0	0	0
g648	contig_105_pilon	14446	16312	+	1867	40	19	31	131	67	68
g649	contig_105_pilon	16327	18231	-	1905	3	5	11	16	20	19
g650	contig_105_pilon	18376	27256	+	8881	1903	2957	2819	1298	560	1578
g651	contig_105_pilon	27293	30251	-	2959	48	238	275	2	0	0
g652	contig_105_pilon	31296	35466	+	4171	0	0	0	0	0	0
g653	contig_105_pilon	39814	50111	-	10298	4226	5684	4951	3840	3447	4117
g654	contig_105_pilon	52886	60210	+	7325	6706	7443	7422	18720	17644	15943
g655	contig_105_pilon	61756	65035	+	3280	6539	676	492	13932	11913	11000
g656	contig_105_pilon	65925	69971	-	4047	771	1416	690	835	463	1274
g657	contig_105_pilon	70156	73860	+	3705	1198	1597	1296	1080	420	1953
g658	contig_105_pilon	76286	88657	+	12372	0	0	0	0	0	0
g659	contig_105_pilon	91456	98018	+	6563	1919	1590	2273	3283	2004	2812
g660	contig_105_pilon	98268	100571	-	2304	940	724	828	331	212	732
g661	contig_105_pilon	100746	105150	+	4405	1477	1612	1165	352	137	468
g662	contig_105_pilon	109055	115211	-	6157	958	1064	1130	1646	989	1227
g663	contig_105_pilon	115821	117291	-	1471	0	2	0	0	0	0
g664	contig_105_pilon	118534	129761	-	11228	40	21	24	31	2	24
g665	contig_105_pilon	130356	136367	+	6012	2481	4541	4601	2692	1291	2777
g666	contig_105_pilon	136391	140011	-	3621	15	12	27	62	49	53
g667	contig_105_pilon	143616	148663	+	5048	1782	5481	3621	269	191	557
g668	contig_105_pilon	157803	168081	-	10279	6	3	0	0	0	4
g669	contig_105_pilon	178973	189595	+	10623	2124	2406	3614	3397	2366	2280
g670	contig_105_pilon	191003	205038	-	14036	410	428	691	649	363	392
g671	contig_105_pilon	213743	223334	+	9592	40	202	138	34	10	46
g672	contig_105_pilon	229982	231868	-	1887	0	20	1	16	0	8
g673	contig_105_pilon	231963	237575	+	5613	160	487	390	95	34	148
g674	contig_105_pilon	244193	247187	+	2995	0	0	0	4	0	6
g675	contig_105_pilon	250173	250928	-	756	0	0	0	0	0	0
g676	contig_105_pilon	258173	262946	+	4774	2910	2394	1890	2212	2001	1867
g677	contig_105_pilon	263293	271267	+	7975	1283	1461	1614	3229	2279	2859
g678	contig_105_pilon	272233	274303	+	2071	939	927	662	1340	937	1679
g679	contig_105_pilon	274493	276805	+	2313	0	0	0	0	0	9
g680	contig_105_pilon	280533	284992	+	4460	74	237	213	45	46	31
g681	contig_105_pilon	284994	315568	-	30575	10607	8739	8064	4671	2893	5118
g682	contig_105_pilon	315663	318331	+	2669	3200	4695	3566	3223	3081	3118
g683	contig_105_pilon	318524	329888	-	11365	2232	22961	6629	3153	2257	3593
g684	contig_105_pilon	329954	333158	-	3205	3239	5437	4413	3629	3341	3665
g685	contig_105_pilon	338030	348729	+	10700	0	0	0	0	0	0
g686	contig_105_pilon	349104	352935	-	3832	0	6	0	102	15	14
g687	contig_105_pilon	354185	359075	-	4891	0	0	0	0	0	0
g688	contig_105_pilon	362180	363240	+	1061	0	0	0	0	0	0
g689	contig_105_pilon	364140	371764	+	7625	0	0	0	0	0	0
g690	contig_105_pilon	372290	382809	+	10520	5879	11187	8005	4263	2186	6087
g691	contig_105_pilon	388605	390345	-	1741	0	0	0	0	0	0
g692	contig_105_pilon	390560	394018	+	3459	2	4	6	0	0	0
g693	contig_105_pilon	395726	397185	-	1460	683	598	514	958	676	983
g694	contig_105_pilon	399660	403361	+	3702	0	0	0	0	0	0
g695	contig_105_pilon	404093	404695	-	603	0	0	0	0	0	0
g696	contig_105_pilon	410080	416939	+	6860	1721	2834	1933	3320	2890	2243
g697	contig_105_pilon	417221	421415	-	4195	12	0	2	4	2	0
g698	contig_105_pilon	421477	422385	-	909	0	0	0	0	0	0
